order_item_id,order_id,product_id,quantity,price
1,1,10,2,499.99
2,1,12,1,299.50
3,2,5,3,749.00
4,3,18,1,999.00
5,4,7,2,450.00
6,5,3,1,1499.00
7,5,9,1,899.00
8,6,21,2,1299.00
9,7,6,4,350.00
10,8,2,1,799.00
11,9,15,2,1099.00
12,10,17,3,620.00
13,11,4,1,1399.00
14,12,1,2,950.00
15,13,11,1,599.00
16,14,23,2,899.00
17,15,14,1,1340.00
18,16,8,3,499.00
19,17,13,2,1110.00
20,18,16,1,970.00
21,19,20,2,749.00
22,20,7,1,1349.00
23,21,22,1,799.00
24,22,3,2,1250.00
25,23,6,1,980.00
26,24,5,3,670.00
27,25,9,2,1440.00
28,26,13,1,999.00
29,27,2,2,840.00
30,28,4,1,1299.00
31,29,12,3,530.00
32,30,16,1,1150.00
33,31,8,2,610.00
34,32,17,1,990.00
35,33,11,1,1250.00
36,34,18,2,725.00
37,35,15,2,899.00
38,36,14,1,1100.00
39,37,10,1,875.00
40,38,1,3,299.00
41,39,19,2,630.00
42,40,23,1,1345.00
43,41,24,1,920.00
44,42,25,2,1090.00
45,43,26,1,950.00
46,44,27,2,770.00
47,45,28,1,1200.00
48,46,29,1,850.00
49,47,30,3,400.00
50,48,31,2,1050.00
51,49,32,1,975.00
52,50,33,2,1145.00
53,51,34,3,499.00
54,52,35,1,1300.00
55,53,36,2,1175.00
56,54,37,1,870.00
57,55,38,2,690.00
58,56,39,1,1235.00
59,57,40,3,455.00
60,58,41,2,620.00
61,59,42,1,840.00
62,60,43,2,1290.00
63,61,44,1,760.00
64,62,45,3,525.00
65,63,46,2,710.00
66,64,47,1,1085.00
67,65,48,2,950.00
68,66,49,1,1360.00
69,67,50,2,1155.00
70,68,1,1,670.00
71,69,2,2,580.00
72,70,3,3,765.00
73,71,4,2,1030.00
74,72,5,1,980.00
75,73,6,2,899.00
76,74,7,1,740.00
77,75,8,2,1099.00
78,76,9,3,490.00
79,77,10,1,1120.00
80,78,11,2,1345.00
81,79,12,1,890.00
82,80,13,2,750.00
83,81,14,2,630.00
84,82,15,1,990.00
85,83,16,3,570.00
86,84,17,1,1100.00
87,85,18,2,1350.00
88,86,19,1,920.00
89,87,20,2,680.00
90,88,21,2,890.00
91,89,22,1,760.00
92,90,23,2,1125.00
93,91,24,1,845.00
94,92,25,2,780.00
95,93,26,3,650.00
96,94,27,1,1390.00
97,95,28,2,710.00
98,96,29,1,990.00
99,97,30,3,405.00
100,98,31,2,975.00
101,99,32,1,1080.00
102,100,33,2,825.00
103,101,34,3,590.00
104,102,35,2,960.00
105,103,36,1,880.00
106,104,37,2,1190.00
107,105,38,1,845.00
108,106,39,1,1220.00
109,107,40,2,1335.00
110,108,41,1,715.00
